tile_z_x_y,mask,center_mask,width,length
13_3829_4330,"[(123, 207), (150, 190), (159, 185), (168, 187), (169, 192), (160, 197), (133, 213), (124, 215), (120, 212)]","[126353.004, 488183.3]",22.704,4.746
13_3829_4330,"[(229, 255), (244, 243), (250, 245), (250, 250), (248, 253), (247, 255)]","[126393.795, 488162.116]",8.82,5.04
13_3829_4330,"[(1, 66), (13, 55), (14, 44), (9, 42), (0, 42)]","[126294.768, 488245.582]",5.84,10.089
13_3798_4319,"[(11, 133.5), (17.5, 123), (0, 111.5), (0, 127), (11, 133.5)]","[122962.056, 487032.737]",5.44,8.935
13_3798_4319,"[(58, 158.5), (63.5, 150), (62, 147.5), (33, 130.5), (25.5, 128), (21.5, 135), (23, 138.5), (58, 158.5)]","[122976.828, 487024.489]",5.001,18.441
13_3798_4319,"[(120, 193.5), (123.5, 192), (126, 187), (123, 183), (87, 163), (84.5, 165), (80.5, 172), (82, 173.5), (106, 187.5), (120, 193.5)]","[123002.389, 487009.412]",5.12,19.867
13_3798_4319,"[(164, 218.5), (169.5, 209), (168, 207.5), (137, 189.5), (133, 187.5), (130.5, 188), (125.5, 197), (127, 198.5), (158, 216.5), (164, 218.5)]","[123020.961, 486999.246]",5.378,18.6
13_3798_4319,"[(204, 237.5), (206.5, 235), (206.5, 232), (203, 229.5), (173, 211.5), (168.5, 214), (167.5, 216), (170, 219.5), (198, 235.5), (204, 237.5)]","[123037.575, 486990.167]",3.529,18.223
13_3798_4319,"[(246, 255.5), (215, 235.5), (209, 243), (210, 248), (226, 255.5), (246, 255.5)]","[123053.034, 486980.495]",5.55,15.904
13_3795_4321,"[(83, 62), (132, 75), (136, 82), (130, 86), (81, 72), (74, 66), (76, 62)]","[122680.835, 487268.659]",4.673,26.884
13_3795_4321,"[(77, 47), (86, 55), (119, 65), (134, 66), (136, 61), (130, 55), (94, 44), (82, 43)]","[122681.43, 487276.584]",5.396,25.42
13_3795_4321,"[(93, 19), (149, 32), (152, 39), (145, 42), (100, 32), (82, 27), (84, 21)]","[122685.73, 487286.805]",4.654,29.778
13_3795_4321,"[(103, 1), (154, 15), (159, 21), (158, 25), (138, 24), (103, 15), (87, 8), (86, 3), (88, 1)]","[122687.83, 487294.067]",5.67,31.607
13_3761_4375,"[(84, 16.5), (85.5, 0), (70, 0), (68.5, 14), (70, 15.5), (84, 16.5)]","[119013.177, 493102.255]",7.073,6.578
13_3761_4375,"[(78, 54.5), (81, 49), (84, 18), (79, 17.5), (69, 17.5), (66.5, 53), (78, 54.5)]","[119012.297, 493090.768]",15.508,6.291
13_3761_4375,"[(78, 97.5), (80.5, 61), (77, 59.5), (65, 59.5), (62.5, 96), (78, 97.5)]","[119010.847, 493072.751]",15.894,6.538
13_3761_4375,"[(75, 137.5), (78.5, 102), (62, 100.5), (59.5, 136), (63, 137.5), (75, 137.5)]","[119009.664, 493055.579]",15.438,6.959
13_3761_4375,"[(72, 176.5), (75.5, 141), (57, 139.5), (53.5, 175), (72, 176.5)]","[119007.89, 493039.24]",15.118,7.794
13_3761_4375,"[(71, 222.5), (84.5, 218), (73, 178.5), (71, 180.5), (57.5, 184), (66.5, 221), (71, 222.5)]","[119010.502, 493020.955]",7.611,17.509
13_3761_4375,"[(97, 255.5), (87.5, 226), (83, 225.5), (75, 228.5), (74.5, 232), (82.5, 255), (97, 255.5)]","[119016.585, 493004.391]",5.97,13.796
13_3794_4299,"[(132, 104.5), (135.5, 99), (135.5, 94), (118.5, 36), (116.5, 30), (114, 27.5), (108, 27.5), (105.5, 30), (105.5, 36), (121.5, 95), (123.5, 100), (127, 103.5), (132, 104.5)]","[122579.551, 484906.357]",5.761,33.87
13_3794_4299,"[(111, 109), (109, 98), (108, 90), (95.5, 49), (91, 41.5), (85, 41.5), (82.5, 44), (82.5, 52), (97.5, 103), (101.5, 112), (109, 118.5)]","[122569.697, 484901.412]",5.771,33.87
13_3794_4299,"[(152, 170.5), (153.5, 160), (139.5, 116), (135, 110.5), (132, 110.5), (128.5, 116), (142.5, 160), (146.5, 167), (152, 170.5)]","[122588.377, 484875.496]",4.403,26.561
13_3794_4299,"[(143, 186.5), (145.5, 182), (145.5, 173), (131.5, 128), (127.5, 118), (125, 115.5), (120, 115.5), (116.5, 119), (116.5, 126), (131.5, 173), (136.5, 182), (143, 186.5)]","[122584.062, 484871.227]",5.746,31.345
13_3794_4299,"[(81, 0), (88, 26), (96, 30), (102, 23), (93, 0)]","[122567.387, 484928.122]",6.005,13.805
13_3794_4299,"[(103, 66), (109, 90), (112, 94), (118, 93), (118, 91), (108, 54), (103, 56), (102, 61)]","[122574.977, 484902.633]",3.539,16.908
13_3816_4322,"[(53, 196.5), (118, 185.5), (122.5, 182), (122.5, 178), (119, 175.5), (114, 175.5), (51, 185.5), (48, 186.5), (42.5, 192), (44, 194.5), (53, 196.5)]","[124929.255, 487328.959]",34.106,4.695
13_3816_4322,"[(4, 204.5), (23, 200.5), (28.5, 195), (24, 192.5), (0, 194.5), (0, 204), (4, 204.5)]","[124899.6, 487323.877]",12.243,4.325
13_3816_4322,"[(135, 176), (136, 171), (152, 167), (187, 162), (194, 166), (192, 170), (176, 177), (139, 182)]","[124963.014, 487334.851]",25.125,5.583
13_3816_4322,"[(207, 162), (207, 160), (226, 156), (246, 151), (255, 150), (256, 156), (244, 162), (224, 165), (210, 166), (207, 164)]","[124992.045, 487340.374]",20.966,4.313
13_3763_4333,"[(7, 108.5), (18.5, 103), (7.5, 76), (3, 69.5), (0, 71), (0, 93), (7, 108.5)]","[119198.854, 488551.626]",5.611,15.803
13_3763_4333,"[(24, 143.5), (34, 139.5), (35.5, 137), (31.5, 132), (21.5, 108), (19, 106.5), (10, 110.5), (9.5, 113), (24, 143.5)]","[119205.077, 488537.336]",5.534,15.328
13_3763_4333,"[(43, 187.5), (48, 185.5), (49.5, 182), (35.5, 146), (33, 141.5), (31, 141.5), (24, 144.5), (23.5, 147), (37.5, 183), (40, 187.5), (43, 187.5)]","[119211.182, 488520.634]",4.85,19.833
13_3763_4333,"[(64, 240.5), (72, 237.5), (73.5, 235), (56, 190.5), (44.5, 196), (60.5, 239), (64, 240.5)]","[119220.655, 488498.949]",5.696,20.83
13_3754_4291,"[(101, 23), (111, 1), (106, 1.5), (91, 1.5), (85.5, 12), (86, 14.5), (93, 19)]","[118269.178, 484069.609]",10.15,7.838
13_3754_4291,"[(70, 71.5), (94.5, 27), (84, 20.5), (81.5, 21), (75.5, 31), (58.5, 63), (60, 66.5), (70, 71.5)]","[118260.096, 484054.772]",21.786,6.18
13_3754_4291,"[(47, 112.5), (65.5, 82), (65, 78.5), (54, 72.5), (51.5, 73), (33.5, 105), (47, 112.5)]","[118249.154, 484035.255]",16.187,6.978
13_3754_4291,"[(21, 154.5), (40.5, 122), (28, 113.5), (24.5, 115), (6.5, 146), (13, 151.5), (21, 154.5)]","[118237.965, 484017.643]",16.927,7.275
13_3754_4291,"[(0, 186.5), (1, 192), (18, 163), (5, 156), (0, 163), (0, 186.5)]","[118230.837, 484002.231]",14.118,6.522
13_3754_4291,"[(255, 208), (242, 165), (256, 163)]","[118333.58, 483998.88]",5.871,18.867
13_3721_4286,"[(13, 223), (25, 216), (1, 185), (0.5, 209), (9.5, 221), (12, 221.5)]","[114684.187, 483449.216]",6.433,16.466
13_3721_4286,"[(39, 255.5), (43.5, 252), (25.5, 223), (22, 221.5), (17, 224.5), (14.5, 228), (27, 254), (33, 255.5), (36, 256), (39, 255.5)]","[114691.854, 483435.535]",6.331,15.935
13_3805_4315,"[(12, 59.5), (13.5, 58), (13.5, 47), (0, 46.5), (0, 59), (12, 59.5)]","[123714.499, 486632.151]",5.27,5.845
13_3805_4315,"[(188, 58.5), (188, 47.5), (148.5, 48), (149, 58.5), (188, 58.5)]","[123782.461, 486632.093]",16.591,4.62
13_3805_4315,"[(227, 58.5), (227, 47.5), (193.5, 48), (194, 58.5), (227, 58.5)]","[123800.091, 486632.094]",14.072,4.619
13_3805_4315,"[(255, 65.5), (255, 47.5), (232.5, 48), (233, 65.5), (255, 65.5)]","[123814.129, 486630.632]",9.452,7.558
13_3805_4315,"[(126, 61.5), (143, 60.5), (143.5, 52), (142, 50.5), (131, 50.5), (114.5, 52), (114.5, 60), (116, 61.5), (126, 61.5)]","[123765.864, 486630.863]",12.356,4.489
13_3805_4315,"[(68, 61.5), (68, 51.5), (30.5, 52), (31, 61.5), (68, 61.5)]","[123732.484, 486630.623]",15.751,4.2
13_3805_4315,"[(75, 49), (74, 62), (90, 62), (107, 62), (106, 47), (91, 50)]","[123749.862, 486631.071]",13.86,6.3
13_3781_4329,"[(1, 109), (1, 94), (24, 118), (21, 125), (11, 118)]","[121135.827, 488113.108]",4.359,15.212
13_3781_4329,"[(89, 158), (93, 155), (145, 173), (146, 179), (143, 183), (140, 185), (97, 168), (87, 161)]","[121180.829, 488088.316]",5.459,25.824
13_3781_4329,"[(192, 201), (188, 198), (189, 191), (196, 191), (222, 200), (241, 209), (241, 213), (237, 216), (227, 215)]","[121221.16, 488074.171]",5.069,23.71
13_3799_4316,"[(29, 126.5), (35.5, 116), (4, 97.5), (1.5, 101), (1.5, 111), (29, 126.5)]","[123073.704, 486714.764]",5.421,15.504
13_3799_4316,"[(111, 207.5), (115, 207), (117, 200), (90.5, 163), (86, 157.5), (80, 157.5), (77.5, 161), (78.5, 166), (107, 205), (108, 207.5), (111, 207.5)]","[123107.413, 486685.395]",4.906,25.462
13_3799_4316,"[(109, 221), (112, 218), (112, 213), (86.5, 181), (81, 178.5), (78.5, 181), (78.5, 185), (104, 218), (105, 220), (106, 221.5)]","[123106.752, 486677.934]",4.161,21.333
13_3799_4316,"[(179, 255.5), (155, 239.5), (151, 237.5), (145, 237), (141, 241), (146, 248), (157, 255), (179, 255.5)]","[123132.501, 486658.068]",5.041,16.734
13_3791_4298,"[(103, 234.5), (151, 225), (148, 215), (135, 217.5), (102, 224.5), (101, 223.5), (98.5, 225), (98.5, 229), (99.5, 233), (103, 234.5)]","[122258.685, 484732.067]",21.957,4.695
13_3815_4315,"[(220, 39.5), (219, 29.5), (182.5, 30), (183, 39.5), (220, 39.5)]","[124871.419, 486639.854]",15.694,4.205
13_3815_4315,"[(48, 40.5), (81, 39.5), (81.5, 31), (80, 29.5), (45, 30.5), (44.5, 40), (48, 40.5)]","[124813.334, 486639.693]",15.642,4.234
13_3815_4315,"[(238, 39.5), (244.5, 38), (245.5, 35), (244, 28.5), (223.5, 29), (224, 39.5), (238, 39.5)]","[124885.235, 486640.116]",9.176,4.557
13_3815_4315,"[(117, 42.5), (117, 29.5), (89.5, 30), (90, 42.5), (117, 42.5)]","[124830.334, 486639.236]",11.552,5.459
13_3815_4315,"[(179, 47.5), (180.5, 46), (180.5, 35), (179, 33.5), (120.5, 33), (121, 47.5), (179, 47.5)]","[124850.035, 486637.446]",25.2,6.09
13_3815_4315,"[(41, 46.5), (42.5, 45), (42.5, 36), (41, 34.5), (7.5, 36), (9, 46.5), (41, 46.5)]","[124797.658, 486637.261]",14.685,5.035
13_3755_4293,"[(33, 38.5), (35.5, 35), (45.5, 5), (31, 0.5), (19.5, 33), (33, 38.5)]","[118349.348, 484280.806]",15.015,6.615
13_3755_4293,"[(7, 80.5), (29.5, 46), (27, 42.5), (16, 35.5), (13.5, 37), (0, 59), (0, 77), (7, 80.5)]","[118340.907, 484265.112]",18.313,7.699
13_3815_4322,"[(256, 208), (255.5, 204), (255, 194.5), (230, 199), (231, 211), (250, 209)]","[124889.031, 487321.715]",10.75,5.837
13_3815_4322,"[(149, 224.5), (209, 214.5), (212.5, 211), (212.5, 207), (209, 203.5), (205, 203.5), (146, 213.5), (142.5, 217), (142.5, 221), (145, 223.5), (149, 224.5)]","[124861.477, 487317.188]",29.967,4.833
13_3815_4322,"[(73, 236.5), (120, 228.5), (126.5, 225), (127.5, 221), (125, 218.5), (109, 219.5), (67, 227.5), (62.5, 231), (65, 236.5), (73, 236.5)]","[124826.84, 487311.495]",27.618,4.502
13_3815_4322,"[(1, 250.5), (39, 243.5), (43.5, 240), (44.5, 236), (41, 232.5), (32, 232.5), (0, 238.5), (0, 250), (1, 250.5)]","[124795.75, 487305.923]",19.446,5.076
13_3801_4319,"[(131, 206.5), (138, 203.5), (171.5, 173), (172.5, 168), (169, 164.5), (165, 164.5), (161, 167.5), (129.5, 197), (126.5, 205), (131, 206.5)]","[123344.611, 487006.695]",24.748,4.677
13_3801_4319,"[(142, 204), (165, 181), (171, 176), (175, 182), (150, 204), (143, 209)]","[123348.308, 487003.905]",17.985,3.09
13_3754_4289,"[(68, 21.5), (86, 15.5), (89, 16.5), (93, 13.5), (90.5, 1), (63, 8.5), (65.5, 20), (68, 21.5)]","[118260.977, 483854.133]",12.063,6.187
13_3754_4289,"[(101, 11.5), (104, 9.5), (139.5, 0), (97, 0), (98.5, 10), (101, 11.5)]","[118275.043, 483857.323]",4.83,17.85
13_3754_4289,"[(156, 14.5), (186, 5.5), (185.5, 0), (167, 0), (154, 3.5), (151.5, 5), (151.5, 8), (153.5, 14), (156, 14.5)]","[118298.424, 483856.373]",14.643,4.667
13_3754_4289,"[(231, 22.5), (234, 20.5), (254, 15.5), (255.5, 14), (255.5, 0), (224, 8.5), (223.5, 13), (226.5, 22), (231, 22.5)]","[118328.989, 483854.047]",14.398,6.443
13_3754_4289,"[(117, 26.5), (151, 16.5), (151.5, 13), (149.5, 7), (145, 5.5), (114, 14.5), (112.5, 16), (113.5, 20), (115.5, 26), (117, 26.5)]","[118283.598, 483852.275]",16.141,5.191
13_3754_4289,"[(184, 36.5), (221, 25.5), (222.5, 24), (218.5, 12), (215, 11.5), (178, 22.5), (176.5, 26), (179.5, 36), (184, 36.5)]","[118311.848, 483848.759]",18.758,6.354
13_3754_4289,"[(12, 39), (21, 34.5), (57, 26), (53, 16), (51, 14), (15, 23.5), (7, 26), (11, 36)]","[118241.541, 483848.09]",20.175,5.905
13_3754_4289,"[(73, 40), (107, 31), (108.5, 18), (103, 17.5), (100, 19.5), (60, 30), (59, 32), (63, 42), (71, 38.5)]","[118263.743, 483846.321]",21.602,5.911
13_3754_4289,"[(239, 44.5), (255.5, 39), (255, 20.5), (254, 22.5), (248, 22.5), (247, 24.5), (230.5, 29), (235.5, 44), (239, 44.5)]","[118330.739, 483844.844]",10.891,7.57
13_3754_4289,"[(140, 49), (175, 39), (171.5, 27), (169, 25.5), (136, 34.5), (130, 37), (135, 49), (140, 46.5)]","[118292.383, 483843.137]",17.942,6.317
13_3754_4289,"[(186, 55.5), (229, 43.5), (229.5, 41), (226.5, 32), (219, 32.5), (189, 41.5), (185, 40.5), (180.5, 44), (183.5, 55), (186, 55.5)]","[118314.217, 483840.635]",20.189,6.181
13_3754_4289,"[(21, 56.5), (57, 45.5), (53.5, 33), (51, 32.5), (1, 46), (2, 61), (21, 56.5)]","[118239.937, 483839.362]",23.998,6.447
13_3754_4289,"[(93, 61.5), (106, 57.5), (108, 58.5), (113, 55.5), (130, 51.5), (130.5, 47), (128.5, 42), (90, 51.5), (90.5, 60), (93, 61.5)]","[118274.294, 483837.172]",17.619,4.666
13_3754_4289,"[(141, 67.5), (174, 57.5), (171.5, 47), (137, 56.5), (138.5, 66), (141, 67.5)]","[118293.342, 483834.805]",15.481,4.9
13_3754_4289,"[(241, 67.5), (255.5, 63), (255, 48.5), (239, 52.5), (234.5, 55), (237.5, 67), (241, 67.5)]","[118331.336, 483834.423]",9.015,6.316
13_3754_4289,"[(100, 83.5), (129, 74.5), (129.5, 72), (125.5, 60), (124, 58.5), (114, 62.5), (109, 62.5), (107, 64.5), (105, 63.5), (101, 66.5), (98, 65.5), (97, 67.5), (95, 67.5), (94.5, 72), (97.5, 82), (100, 83.5)]","[118275.072, 483828.975]",14.081,7.469
13_3754_4289,"[(193, 80.5), (231, 70.5), (229.5, 60), (218, 61.5), (189, 69.5), (189.5, 78), (191, 80.5), (193, 80.5)]","[118316.238, 483829.458]",18.171,5.045
13_3754_4289,"[(2, 88.5), (34, 79.5), (35.5, 76), (33.5, 69), (23, 70.5), (0, 77.5), (0, 88), (2, 88.5)]","[118235.373, 483825.946]",15.718,4.89
13_3754_4289,"[(238, 87.5), (255.5, 82), (255, 69.5), (239, 73.5), (231.5, 77), (234.5, 87), (238, 87.5)]","[118330.721, 483825.797]",10.359,5.511
13_3754_4289,"[(49, 96), (88, 85), (87, 78), (85, 72), (76, 73.5), (73, 75.5), (46, 84), (45, 87), (45, 93)]","[118256.166, 483823.509]",18.688,6.017
13_3754_4289,"[(134, 98.5), (166, 88.5), (168, 89.5), (180, 87), (176, 77), (175, 74), (130, 88.5), (131.5, 96), (134, 98.5)]","[118293.362, 483822.561]",20.548,5.841
13_3754_4289,"[(186, 102.5), (228, 89.5), (229.5, 88), (226.5, 79), (182, 91.5), (180.5, 93), (181.5, 99), (184, 102.5), (186, 102.5)]","[118314.052, 483820.684]",20.658,4.902
13_3754_4289,"[(36, 99), (35, 97), (34, 93), (33, 87), (25, 87.5), (0, 95.5), (0, 106), (1, 106.5)]","[118235.543, 483818.286]",15.4,5.691
13_3754_4289,"[(94, 110.5), (125, 101.5), (126.5, 98), (124.5, 91), (121, 90.5), (89, 98.5), (87.5, 103), (89.5, 110), (94, 110.5)]","[118272.972, 483816.707]",16.327,5.423
13_3754_4289,"[(134, 117.5), (176, 104.5), (174.5, 94), (171, 93.5), (156, 98.5), (154, 97.5), (153, 99.5), (147, 99.5), (143, 102.5), (130, 105.5), (131.5, 116), (134, 117.5)]","[118292.362, 483814.649]",19.985,5.608
13_3754_4289,"[(43, 125), (64, 117.5), (67, 118.5), (68, 116.5), (72, 115.5), (74, 116.5), (75, 114.5), (80, 113.5), (81.5, 112), (77.5, 100), (38, 111), (41, 122), (49, 122.5)]","[118253.297, 483811.838]",17.513,6.302
13_3754_4289,"[(227, 120.5), (255, 112.5), (255.5, 101), (223, 109.5), (221.5, 111), (223.5, 118), (225, 120.5), (227, 120.5)]","[118328.523, 483812.229]",14.878,4.895
13_3754_4289,"[(3, 135.5), (32, 127), (30, 123), (29, 114), (0, 120.5), (0, 135), (3, 135.5)]","[118234.344, 483806.509]",13.851,6.422
13_3754_4289,"[(94, 131.5), (124, 122.5), (121.5, 112), (118, 111.5), (88, 120.5), (90.5, 131), (94, 131.5)]","[118272.68, 483807.85]",14.764,5.149
13_3754_4289,"[(194, 128.5), (217, 121.5), (217.5, 118), (215.5, 112), (190, 118.5), (191.5, 127), (194, 128.5)]","[118313.709, 483808.387]",11.515,4.485
13_3754_4289,"[(240, 135.5), (255.5, 131), (255, 117.5), (234.5, 124), (236.5, 134), (240, 135.5)]","[118331.336, 483805.554]",9.394,5.504
13_3754_4289,"[(157, 139.5), (187, 130.5), (188.5, 129), (185.5, 120), (151, 129.5), (152.5, 138), (157, 139.5)]","[118299.365, 483804.276]",15.581,4.718
13_3754_4289,"[(54, 145.5), (87, 136.5), (87.5, 134), (83.5, 121), (79, 120.5), (48, 129.5), (50.5, 143), (52, 145.5), (54, 145.5)]","[118256.565, 483803.066]",15.987,7.367
13_3754_4289,"[(214, 146.5), (232.5, 140), (228, 126.5), (206.5, 133), (209.5, 146), (214, 146.5)]","[118320.236, 483801.404]",9.976,6.339
13_3754_4289,"[(1, 161.5), (42, 149), (40, 141), (38, 134), (0, 143.5), (0, 160), (1, 161.5)]","[118236.412, 483797.008]",18.346,7.385
13_3754_4289,"[(122, 149.5), (147, 142.5), (148.5, 140), (146.5, 133), (143, 132.5), (117, 140.5), (118.5, 149), (122, 149.5)]","[118283.944, 483799.63]",13.153,4.497
13_3754_4289,"[(86, 159.5), (115, 150.5), (113.5, 143), (110, 142.5), (82, 150.5), (82.5, 158), (86, 159.5)]","[118269.364, 483795.536]",14.25,4.096
13_3754_4289,"[(181, 165.5), (208, 157.5), (204.5, 144), (201, 143.5), (176, 150.5), (174.5, 155), (177.5, 165), (181, 165.5)]","[118308.36, 483794.005]",13.379,6.633
